2000,10,100,44,0.0462857,-O3,50
2000,10,100,45,0.0467457,-O3,50
2000,10,100,46,0.0451628,-O3,50
2000,10,100,47,0.0454986,-O3,50
2000,10,100,48,0.0453046,-O3,50
2000,10,100,49,0.045795,-O3,50
3000,10,100,0,0.169941,-O3,50
3000,10,100,1,0.148188,-O3,50
3000,10,100,2,0.143889,-O3,50
3000,10,100,3,0.155554,-O3,50
3000,10,100,4,0.1578,-O3,50
3000,10,100,5,0.154086,-O3,50
3000,10,100,6,0.168127,-O3,50
3000,10,100,7,0.151173,-O3,50
3000,10,100,8,0.159462,-O3,50
3000,10,100,9,0.150217,-O3,50
3000,10,100,10,0.143745,-O3,50
3000,10,100,11,0.140595,-O3,50
3000,10,100,12,0.139712,-O3,50
3000,10,100,13,0.138249,-O3,50
3000,10,100,14,0.129004,-O3,50
3000,10,100,15,0.128708,-O3,50
3000,10,100,16,0.127177,-O3,50
3000,10,100,17,0.131237,-O3,50
3000,10,100,18,0.129187,-O3,50
3000,10,100,19,0.128437,-O3,50
3000,10,100,20,0.12866,-O3,50
3000,10,100,21,0.128466,-O3,50
3000,10,100,22,0.12844,-O3,50
3000,10,100,23,0.12743,-O3,50
3000,10,100,24,0.129223,-O3,50
3000,10,100,25,0.128604,-O3,50
3000,10,100,26,0.128396,-O3,50
3000,10,100,27,0.128025,-O3,50
3000,10,100,28,0.127913,-O3,50
3000,10,100,29,0.129061,-O3,50
3000,10,100,30,0.128286,-O3,50
3000,10,100,31,0.127319,-O3,50
3000,10,100,32,0.130662,-O3,50
3000,10,100,33,0.129217,-O3,50
3000,10,100,34,0.129606,-O3,50
3000,10,100,35,0.127941,-O3,50
3000,10,100,36,0.127443,-O3,50
3000,10,100,37,0.129236,-O3,50
3000,10,100,38,0.127307,-O3,50
3000,10,100,39,0.128335,-O3,50
3000,10,100,40,0.128876,-O3,50
3000,10,100,41,0.129005,-O3,50
3000,10,100,42,0.128442,-O3,50
3000,10,100,43,0.127333,-O3,50
3000,10,100,44,0.127231,-O3,50
3000,10,100,45,0.127817,-O3,50
3000,10,100,46,0.130612,-O3,50
3000,10,100,47,0.127942,-O3,50
3000,10,100,48,0.130088,-O3,50
3000,10,100,49,0.128686,-O3,50
4000,10,100,0,0.281238,-O3,50
4000,10,100,1,0.26734,-O3,50
